timestamps_key,date,time,labels
858918_2022-05-02_06:45:00.000000,2022-05-02,06:45:00.000000,3
858918_2022-05-02_09:15:00.000000,2022-05-02,09:15:00.000000,3
858918_2022-05-02_09:30:00.000000,2022-05-02,09:30:00.000000,3
858918_2022-05-02_10:15:00.000000,2022-05-02,10:15:00.000000,3
859062_2022-05-03_07:00:00.000000,2022-05-03,07:00:00.000000,3
859062_2022-05-03_07:45:00.000000,2022-05-03,07:45:00.000000,3
859062_2022-05-03_09:15:00.000000,2022-05-03,09:15:00.000000,3
859062_2022-05-03_09:30:00.000000,2022-05-03,09:30:00.000000,3
859062_2022-05-03_10:00:00.000000,2022-05-03,10:00:00.000000,3
859062_2022-05-03_11:15:00.000000,2022-05-03,11:15:00.000000,3
859062_2022-05-03_12:30:00.000000,2022-05-03,12:30:00.000000,3
859062_2022-05-03_13:30:00.000000,2022-05-03,13:30:00.000000,3
859062_2022-05-03_13:45:00.000000,2022-05-03,13:45:00.000000,3
859062_2022-05-03_15:45:00.000000,2022-05-03,15:45:00.000000,3
859140_2022-05-04_09:45:00.000000,2022-05-04,09:45:00.000000,4
859140_2022-05-04_10:00:00.000000,2022-05-04,10:00:00.000000,4
859140_2022-05-04_10:15:00.000000,2022-05-04,10:15:00.000000,4
859140_2022-05-04_10:30:00.000000,2022-05-04,10:30:00.000000,4
859140_2022-05-04_10:45:00.000000,2022-05-04,10:45:00.000000,4
859140_2022-05-04_11:00:00.000000,2022-05-04,11:00:00.000000,4
859140_2022-05-04_10:45:00.000000,2022-05-04,10:45:00.000000,3
859140_2022-05-04_15:00:00.000000,2022-05-04,15:00:00.000000,4
859140_2022-05-04_15:15:00.000000,2022-05-04,15:15:00.000000,4
859140_2022-05-04_15:30:00.000000,2022-05-04,15:30:00.000000,4
859140_2022-05-04_15:45:00.000000,2022-05-04,15:45:00.000000,4
859140_2022-05-04_16:00:00.000000,2022-05-04,16:00:00.000000,4
859344_2022-05-05_06:45:00.000000,2022-05-05,06:45:00.000000,3
859344_2022-05-05_11:30:00.000000,2022-05-05,11:30:00.000000,3
859344_2022-05-05_13:30:00.000000,2022-05-05,13:30:00.000000,3
859340_2022-05-06_12:15:00.000000,2022-05-06,12:15:00.000000,3
859336_2022-05-07_10:00:00.000000,2022-05-07,10:00:00.000000,3
859336_2022-05-07_11:45:00.000000,2022-05-07,11:45:00.000000,3
859336_2022-05-07_14:15:00.000000,2022-05-07,14:15:00.000000,3
859336_2022-05-07_15:00:00.000000,2022-05-07,15:00:00.000000,3
859332_2022-05-08_07:30:00.000000,2022-05-08,07:30:00.000000,3
859332_2022-05-08_09:30:00.000000,2022-05-08,09:30:00.000000,3
859332_2022-05-08_10:15:00.000000,2022-05-08,10:15:00.000000,3
859332_2022-05-08_14:00:00.000000,2022-05-08,14:00:00.000000,3
859332_2022-05-08_14:30:00.000000,2022-05-08,14:30:00.000000,3
859332_2022-05-08_14:45:00.000000,2022-05-08,14:45:00.000000,3
859332_2022-05-08_15:00:00.000000,2022-05-08,15:00:00.000000,3
859332_2022-05-08_15:15:00.000000,2022-05-08,15:15:00.000000,3
859332_2022-05-08_15:30:00.000000,2022-05-08,15:30:00.000000,3
859332_2022-05-08_15:45:00.000000,2022-05-08,15:45:00.000000,3
859332_2022-05-08_14:45:00.000000,2022-05-08,14:45:00.000000,3
859332_2022-05-08_15:30:00.000000,2022-05-08,15:30:00.000000,3
859332_2022-05-08_16:00:00.000000,2022-05-08,16:00:00.000000,3
