timestamp,label
859728_2022-05-12_13:00:00.000000,1
859728_2022-05-12_13:30:00.000000,1
859728_2022-05-12_12:00:00.000000,2
859728_2022-05-12_07:00:00.000000,1
859728_2022-05-12_07:30:00.000000,1
859728_2022-05-12_14:00:00.000000,1
859728_2022-05-12_12:30:00.000000,1
859728_2022-05-12_11:00:00.000000,1
859728_2022-05-12_09:30:00.000000,1
859728_2022-05-12_09:00:00.000000,1
859728_2022-05-12_11:30:00.000000,1
859728_2022-05-12_08:30:00.000000,1
859728_2022-05-12_10:00:00.000000,1
859728_2022-05-12_10:30:00.000000,1
859728_2022-05-12_08:00:00.000000,1
863014_2022-06-02_07:00:00.000000,3
863014_2022-06-02_12:30:00.000000,3
863014_2022-06-02_13:00:00.000000,3
863014_2022-06-02_09:00:00.000000,3
863014_2022-06-02_10:30:00.000000,3
863014_2022-06-02_11:00:00.000000,3
863014_2022-06-02_08:30:00.000000,3
863014_2022-06-02_10:00:00.000000,3
863014_2022-06-02_09:30:00.000000,3
863014_2022-06-02_08:00:00.000000,3
863014_2022-06-02_11:30:00.000000,3
863014_2022-06-02_12:00:00.000000,3
863014_2022-06-02_07:30:00.000000,3
863016_2022-06-02_07:00:00.000000,3
863016_2022-06-02_12:00:00.000000,3
863016_2022-06-02_12:30:00.000000,3
863016_2022-06-02_07:30:00.000000,3
863016_2022-06-02_13:00:00.000000,3
863016_2022-06-02_08:30:00.000000,3
863016_2022-06-02_10:00:00.000000,3
863016_2022-06-02_10:30:00.000000,3
863016_2022-06-02_08:00:00.000000,3
863016_2022-06-02_11:00:00.000000,3
863016_2022-06-02_09:30:00.000000,3
863016_2022-06-02_09:00:00.000000,3
863016_2022-06-02_11:30:00.000000,3
859726_2022-05-12_13:00:00.000000,1
859726_2022-05-12_12:30:00.000000,1
859726_2022-05-12_07:00:00.000000,1
859726_2022-05-12_14:00:00.000000,1
859726_2022-05-12_08:30:00.000000,1
859726_2022-05-12_11:00:00.000000,1
859726_2022-05-12_10:30:00.000000,1
859726_2022-05-12_09:00:00.000000,1
859726_2022-05-12_11:30:00.000000,1
859726_2022-05-12_08:00:00.000000,1
859726_2022-05-12_09:30:00.000000,1
859726_2022-05-12_10:00:00.000000,1
859726_2022-05-12_13:30:00.000000,1
859726_2022-05-12_07:30:00.000000,1
859726_2022-05-12_12:00:00.000000,2
858918_2022-05-02_16:00:00.000000,3
858918_2022-05-02_11:45:00.000000,3
858918_2022-05-02_10:00:00.000000,3
858918_2022-05-02_08:15:00.000000,3
858918_2022-05-02_13:30:00.000000,3
858918_2022-05-02_15:30:00.000000,3
858918_2022-05-02_12:15:00.000000,3
858918_2022-05-02_14:15:00.000000,3
858918_2022-05-02_07:45:00.000000,3
858918_2022-05-02_09:30:00.000000,3
858918_2022-05-02_10:45:00.000000,3
858918_2022-05-02_09:15:00.000000,3
858918_2022-05-02_11:00:00.000000,3
858918_2022-05-02_12:30:00.000000,3
858918_2022-05-02_14:30:00.000000,3
858918_2022-05-02_13:15:00.000000,3
858918_2022-05-02_15:15:00.000000,3
858918_2022-05-02_06:45:00.000000,3
858918_2022-05-02_07:00:00.000000,3
858918_2022-05-02_08:30:00.000000,3
