timestamp_key,timestamp_date,timestamp_time,event_date,event_begin,event_end,event_particulars
858918_2022-05-02_06:45:00.000000,2022-05-02,06:45:00.000000,2022-05-02,0649,0650,III/2
858918_2022-05-02_09:15:00.000000,2022-05-02,09:15:00.000000,2022-05-02,0929,0934,III/1
858918_2022-05-02_09:30:00.000000,2022-05-02,09:30:00.000000,2022-05-02,0929,0934,III/1
858918_2022-05-02_10:15:00.000000,2022-05-02,10:15:00.000000,2022-05-02,1020,1020,III/1
859062_2022-05-03_07:00:00.000000,2022-05-03,07:00:00.000000,2022-05-03,0704,0705,III/1
859062_2022-05-03_07:45:00.000000,2022-05-03,07:45:00.000000,2022-05-03,0758,0758,III/1
859062_2022-05-03_09:15:00.000000,2022-05-03,09:15:00.000000,2022-05-03,0926,0932,III/1
859062_2022-05-03_09:30:00.000000,2022-05-03,09:30:00.000000,2022-05-03,0926,0932,III/1
859062_2022-05-03_10:00:00.000000,2022-05-03,10:00:00.000000,2022-05-03,1001,1006,III/2
859062_2022-05-03_11:15:00.000000,2022-05-03,11:15:00.000000,2022-05-03,1126,1126,III/1
859062_2022-05-03_12:30:00.000000,2022-05-03,12:30:00.000000,2022-05-03,1237,1238,III/1
859062_2022-05-03_13:30:00.000000,2022-05-03,13:30:00.000000,2022-05-03,1340,1342,III/1
859062_2022-05-03_13:45:00.000000,2022-05-03,13:45:00.000000,2022-05-03,1357,1358,III/1
859062_2022-05-03_15:45:00.000000,2022-05-03,15:45:00.000000,2022-05-03,1546,1548,III/2
859140_2022-05-04_09:45:00.000000,2022-05-04,09:45:00.000000,2022-05-04,0955,2212,IV/1
859140_2022-05-04_10:00:00.000000,2022-05-04,10:00:00.000000,2022-05-04,0955,2212,IV/1
859140_2022-05-04_10:15:00.000000,2022-05-04,10:15:00.000000,2022-05-04,0955,2212,IV/1
859140_2022-05-04_10:30:00.000000,2022-05-04,10:30:00.000000,2022-05-04,0955,2212,IV/1
859140_2022-05-04_10:45:00.000000,2022-05-04,10:45:00.000000,2022-05-04,0955,2212,IV/1
859140_2022-05-04_11:00:00.000000,2022-05-04,11:00:00.000000,2022-05-04,0955,2212,IV/1
859140_2022-05-04_10:45:00.000000,2022-05-04,10:45:00.000000,2022-05-04,1048,1056,III/1
859140_2022-05-04_15:00:00.000000,2022-05-04,15:00:00.000000,2022-05-04,1512,1738,IV/1
859140_2022-05-04_15:15:00.000000,2022-05-04,15:15:00.000000,2022-05-04,1512,1738,IV/1
859140_2022-05-04_15:30:00.000000,2022-05-04,15:30:00.000000,2022-05-04,1512,1738,IV/1
859140_2022-05-04_15:45:00.000000,2022-05-04,15:45:00.000000,2022-05-04,1512,1738,IV/1
859140_2022-05-04_16:00:00.000000,2022-05-04,16:00:00.000000,2022-05-04,1512,1738,IV/1
859344_2022-05-05_06:45:00.000000,2022-05-05,06:45:00.000000,2022-05-05,0656,0657,III/1
859344_2022-05-05_11:30:00.000000,2022-05-05,11:30:00.000000,2022-05-05,1140,1141,III/1
859344_2022-05-05_13:30:00.000000,2022-05-05,13:30:00.000000,2022-05-05,1343,1344,III/1
859340_2022-05-06_12:15:00.000000,2022-05-06,12:15:00.000000,2022-05-06,1218,1218,III/1
859336_2022-05-07_10:00:00.000000,2022-05-07,10:00:00.000000,2022-05-07,1014,1015,III/2
859336_2022-05-07_11:45:00.000000,2022-05-07,11:45:00.000000,2022-05-07,1149,1149,III/1
859336_2022-05-07_14:15:00.000000,2022-05-07,14:15:00.000000,2022-05-07,1415,1418,III/2
859336_2022-05-07_15:00:00.000000,2022-05-07,15:00:00.000000,2022-05-07,1506,1506,III/2
859332_2022-05-08_07:30:00.000000,2022-05-08,07:30:00.000000,2022-05-08,0741,0742,III/2
859332_2022-05-08_09:30:00.000000,2022-05-08,09:30:00.000000,2022-05-08,0940,0945,III/1
859332_2022-05-08_10:15:00.000000,2022-05-08,10:15:00.000000,2022-05-08,1018,1019,III/1
859332_2022-05-08_14:00:00.000000,2022-05-08,14:00:00.000000,2022-05-08,1401,1403,III/1
859332_2022-05-08_14:30:00.000000,2022-05-08,14:30:00.000000,2022-05-08,1436,1717,III/1
859332_2022-05-08_14:45:00.000000,2022-05-08,14:45:00.000000,2022-05-08,1436,1717,III/1
859332_2022-05-08_15:00:00.000000,2022-05-08,15:00:00.000000,2022-05-08,1436,1717,III/1
859332_2022-05-08_15:15:00.000000,2022-05-08,15:15:00.000000,2022-05-08,1436,1717,III/1
859332_2022-05-08_15:30:00.000000,2022-05-08,15:30:00.000000,2022-05-08,1436,1717,III/1
859332_2022-05-08_15:45:00.000000,2022-05-08,15:45:00.000000,2022-05-08,1436,1717,III/1
859332_2022-05-08_14:45:00.000000,2022-05-08,14:45:00.000000,2022-05-08,1454,1458,III/1
859332_2022-05-08_15:30:00.000000,2022-05-08,15:30:00.000000,2022-05-08,1533,1536,III/1
859332_2022-05-08_16:00:00.000000,2022-05-08,16:00:00.000000,2022-05-08,1606,1606,III/1
859328_2022-05-09_06:45:00.000000,2022-05-09,06:45:00.000000,2022-05-09,0648,0648,III/1
859328_2022-05-09_10:45:00.000000,2022-05-09,10:45:00.000000,2022-05-09,1055,1102,III/2
859328_2022-05-09_11:00:00.000000,2022-05-09,11:00:00.000000,2022-05-09,1055,1102,III/2
859328_2022-05-09_12:30:00.000000,2022-05-09,12:30:00.000000,2022-05-09,1240,1242,III/1
859690_2022-05-11_12:22:44.000000,2022-05-11,12:22:44.000000,2022-05-11,1230,1231,III/1
859690_2022-05-11_12:22:44.000000,2022-05-11,12:22:44.000000,2022-05-11,1231,1231,III/1
859690_2022-05-11_17:07:44.000000,2022-05-11,17:07:44.000000,2022-05-11,1712,1713,III/1
859728_2022-05-12_07:30:00.000000,2022-05-12,07:30:00.000000,2022-05-12,0740,0748,III/2
859726_2022-05-12_07:30:00.000000,2022-05-12,07:30:00.000000,2022-05-12,0740,0748,III/2
859702_2022-05-12_07:30:00.000000,2022-05-12,07:30:00.000000,2022-05-12,0740,0748,III/2
859728_2022-05-12_07:45:00.000000,2022-05-12,07:45:00.000000,2022-05-12,0740,0748,III/2
859702_2022-05-12_07:45:00.000000,2022-05-12,07:45:00.000000,2022-05-12,0740,0748,III/2
859728_2022-05-12_09:15:00.000000,2022-05-12,09:15:00.000000,2022-05-12,0929,0930,III/1
859702_2022-05-12_09:15:00.000000,2022-05-12,09:15:00.000000,2022-05-12,0929,0930,III/1
859728_2022-05-12_10:15:00.000000,2022-05-12,10:15:00.000000,2022-05-12,1029,1030,III/1
859702_2022-05-12_10:15:00.000000,2022-05-12,10:15:00.000000,2022-05-12,1029,1030,III/1
859728_2022-05-12_11:45:00.000000,2022-05-12,11:45:00.000000,2022-05-12,1148,1151,III/2
859702_2022-05-12_11:45:00.000000,2022-05-12,11:45:00.000000,2022-05-12,1148,1151,III/2
859728_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,2022-05-12,1253,1256,III/2
859702_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,2022-05-12,1253,1256,III/2
859728_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,2022-05-12,1253,1257,III/3
859702_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,2022-05-12,1253,1257,III/3
859736_2022-05-13_06:45:00.000000,2022-05-13,06:45:00.000000,2022-05-13,0652,0652,III/1
859736_2022-05-13_07:45:00.000000,2022-05-13,07:45:00.000000,2022-05-13,0759,0806,III/1
859736_2022-05-13_08:00:00.000000,2022-05-13,08:00:00.000000,2022-05-13,0759,0806,III/1
859736_2022-05-13_11:30:00.000000,2022-05-13,11:30:00.000000,2022-05-13,1132,1203,III/1
859736_2022-05-13_11:45:00.000000,2022-05-13,11:45:00.000000,2022-05-13,1132,1203,III/1
859736_2022-05-13_12:00:00.000000,2022-05-13,12:00:00.000000,2022-05-13,1132,1203,III/1
859736_2022-05-13_12:30:00.000000,2022-05-13,12:30:00.000000,2022-05-13,1238,1239,III/1
859736_2022-05-13_14:45:00.000000,2022-05-13,14:45:00.000000,2022-05-13,1456,1456,III/1
859736_2022-05-13_15:30:00.000000,2022-05-13,15:30:00.000000,2022-05-13,1533,1544,III/1
860142_2022-05-14_11:45:00.000000,2022-05-14,11:45:00.000000,2022-05-14,1149,1153,III/1
