Index,Date,URL,date,time,key,labels
94,858918_2022-05-02_06:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_063000_LBA_OUTER_S0.fits,2022-05-02,06:30:00.000000,858918_2022-05-02_06:30:00.000000,3
73,858918_2022-05-02_06:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_064500_LBA_OUTER_S0.fits,2022-05-02,06:45:00.000000,858918_2022-05-02_06:45:00.000000,3
74,858918_2022-05-02_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_070000_LBA_OUTER_S0.fits,2022-05-02,07:00:00.000000,858918_2022-05-02_07:00:00.000000,3
90,858918_2022-05-02_07:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_071500_LBA_OUTER_S0.fits,2022-05-02,07:15:00.000000,858918_2022-05-02_07:15:00.000000,3
84,858918_2022-05-02_07:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_073000_LBA_OUTER_S0.fits,2022-05-02,07:30:00.000000,858918_2022-05-02_07:30:00.000000,3
64,858918_2022-05-02_07:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_074500_LBA_OUTER_S0.fits,2022-05-02,07:45:00.000000,858918_2022-05-02_07:45:00.000000,3
82,858918_2022-05-02_08:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_080000_LBA_OUTER_S0.fits,2022-05-02,08:00:00.000000,858918_2022-05-02_08:00:00.000000,3
59,858918_2022-05-02_08:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_081500_LBA_OUTER_S0.fits,2022-05-02,08:15:00.000000,858918_2022-05-02_08:15:00.000000,3
75,858918_2022-05-02_08:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_083000_LBA_OUTER_S0.fits,2022-05-02,08:30:00.000000,858918_2022-05-02_08:30:00.000000,3
91,858918_2022-05-02_08:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_084500_LBA_OUTER_S0.fits,2022-05-02,08:45:00.000000,858918_2022-05-02_08:45:00.000000,3
