Index,Date,URL,date,time,key,labels
1722.0,862222_2022-05-25_18:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3719/862222/dynamic_spectra/LOFAR_20220525_181500_LBA_OUTER_S0.fits,2022-05-25,18:15:00.000000,862222_2022-05-25_18:15:00.000000,2
1091.0,862352_2022-05-28_15:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3722/862352/dynamic_spectra/LOFAR_20220528_154500_LBA_OUTER_S0.fits,2022-05-28,15:45:00.000000,862352_2022-05-28_15:45:00.000000,2
1115.0,862352_2022-05-28_16:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3722/862352/dynamic_spectra/LOFAR_20220528_160000_LBA_OUTER_S0.fits,2022-05-28,16:00:00.000000,862352_2022-05-28_16:00:00.000000,2
2279.0,867632_2022-08-03_17:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3800/867632/dynamic_spectra/LOFAR_20220803_170000_LBA_OUTER_S0.fits,2022-08-03,17:00:00.000000,867632_2022-08-03_17:00:00.000000,2
2261.0,867632_2022-08-03_17:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3800/867632/dynamic_spectra/LOFAR_20220803_171500_LBA_OUTER_S0.fits,2022-08-03,17:15:00.000000,867632_2022-08-03_17:15:00.000000,2
3406.0,867640_2022-08-05_06:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3883/867640/dynamic_spectra/LOFAR_20220805_064500_LBA_OUTER_S0.fits,2022-08-05,06:45:00.000000,867640_2022-08-05_06:45:00.000000,2
3404.0,867640_2022-08-05_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3883/867640/dynamic_spectra/LOFAR_20220805_070000_LBA_OUTER_S0.fits,2022-08-05,07:00:00.000000,867640_2022-08-05_07:00:00.000000,2
7015.0,868448_2022-08-18_10:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4131/868448/dynamic_spectra/LOFAR_20220818_104500_LBA_OUTER_S0.fits,2022-08-18,10:45:00.000000,868448_2022-08-18_10:45:00.000000,2
7013.0,868448_2022-08-18_11:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4131/868448/dynamic_spectra/LOFAR_20220818_110000_LBA_OUTER_S0.fits,2022-08-18,11:00:00.000000,868448_2022-08-18_11:00:00.000000,2
7038.0,868448_2022-08-18_12:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4131/868448/dynamic_spectra/LOFAR_20220818_120000_LBA_OUTER_S0.fits,2022-08-18,12:00:00.000000,868448_2022-08-18_12:00:00.000000,2
3429.0,872004_2022-09-23_13:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3889/872004/dynamic_spectra/LOFAR_20220923_134500_LBA_OUTER_S0.fits,2022-09-23,13:45:00.000000,872004_2022-09-23_13:45:00.000000,2
3428.0,872004_2022-09-23_14:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3889/872004/dynamic_spectra/LOFAR_20220923_140000_LBA_OUTER_S0.fits,2022-09-23,14:00:00.000000,872004_2022-09-23_14:00:00.000000,2
4354.0,873300_2022-10-11_08:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3942/873300/dynamic_spectra/LOFAR_20221011_084500_LBA_OUTER_S0.fits,2022-10-11,08:45:00.000000,873300_2022-10-11_08:45:00.000000,2
4357.0,873300_2022-10-11_09:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3942/873300/dynamic_spectra/LOFAR_20221011_090000_LBA_OUTER_S0.fits,2022-10-11,09:00:00.000000,873300_2022-10-11_09:00:00.000000,2
