Index,Date,URL
0,859728_2022-05-12_13:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_130000_HBA_DUAL_S0.fits
1,859728_2022-05-12_13:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_133000_HBA_DUAL_S0.fits
2,859728_2022-05-12_12:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_120000_HBA_DUAL_S0.fits
3,859728_2022-05-12_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_070000_HBA_DUAL_S0.fits
4,859728_2022-05-12_07:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_073000_HBA_DUAL_S0.fits
5,859728_2022-05-12_14:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_140000_HBA_DUAL_S0.fits
6,859728_2022-05-12_12:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_123000_HBA_DUAL_S0.fits
7,859728_2022-05-12_11:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_110000_HBA_DUAL_S0.fits
8,859728_2022-05-12_09:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_093000_HBA_DUAL_S0.fits
9,859728_2022-05-12_09:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_090000_HBA_DUAL_S0.fits
10,859728_2022-05-12_11:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_113000_HBA_DUAL_S0.fits
11,859728_2022-05-12_08:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_083000_HBA_DUAL_S0.fits
12,859728_2022-05-12_10:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_100000_HBA_DUAL_S0.fits
13,859728_2022-05-12_10:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_103000_HBA_DUAL_S0.fits
14,859728_2022-05-12_08:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3044/859728/dynamic_spectra/LOFAR_20220512_080000_HBA_DUAL_S0.fits
15,863014_2022-06-02_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_070000_LBA_OUTER_S0.fits
16,863014_2022-06-02_12:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_123000_LBA_OUTER_S0.fits
17,863014_2022-06-02_13:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_130000_LBA_OUTER_S0.fits
18,863014_2022-06-02_09:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_090000_LBA_OUTER_S0.fits
19,863014_2022-06-02_10:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_103000_LBA_OUTER_S0.fits
20,863014_2022-06-02_11:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_110000_LBA_OUTER_S0.fits
21,863014_2022-06-02_08:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_083000_LBA_OUTER_S0.fits
22,863014_2022-06-02_10:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_100000_LBA_OUTER_S0.fits
23,863014_2022-06-02_09:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_093000_LBA_OUTER_S0.fits
24,863014_2022-06-02_08:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_080000_LBA_OUTER_S0.fits
25,863014_2022-06-02_11:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_113000_LBA_OUTER_S0.fits
26,863014_2022-06-02_12:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_120000_LBA_OUTER_S0.fits
27,863014_2022-06-02_07:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4147/863014/dynamic_spectra/LOFAR_20220602_073000_LBA_OUTER_S0.fits
28,863016_2022-06-02_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_070000_HBA_DUAL_S0.fits
29,863016_2022-06-02_12:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_120000_HBA_DUAL_S0.fits
30,863016_2022-06-02_12:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_123000_HBA_DUAL_S0.fits
31,863016_2022-06-02_07:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_073000_HBA_DUAL_S0.fits
32,863016_2022-06-02_13:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_130000_HBA_DUAL_S0.fits
33,863016_2022-06-02_08:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_083000_HBA_DUAL_S0.fits
34,863016_2022-06-02_10:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_100000_HBA_DUAL_S0.fits
35,863016_2022-06-02_10:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_103000_HBA_DUAL_S0.fits
36,863016_2022-06-02_08:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_080000_HBA_DUAL_S0.fits
37,863016_2022-06-02_11:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_110000_HBA_DUAL_S0.fits
38,863016_2022-06-02_09:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_093000_HBA_DUAL_S0.fits
39,863016_2022-06-02_09:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_090000_HBA_DUAL_S0.fits
40,863016_2022-06-02_11:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/4148/863016/dynamic_spectra/LOFAR_20220602_113000_HBA_DUAL_S0.fits
41,859726_2022-05-12_13:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_130000_LBA_OUTER.fits
42,859726_2022-05-12_12:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_123000_LBA_OUTER.fits
43,859726_2022-05-12_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_070000_LBA_OUTER.fits
44,859726_2022-05-12_14:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_140000_LBA_OUTER.fits
45,859726_2022-05-12_08:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_083000_LBA_OUTER.fits
46,859726_2022-05-12_11:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_110000_LBA_OUTER.fits
47,859726_2022-05-12_10:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_103000_LBA_OUTER.fits
48,859726_2022-05-12_09:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_090000_LBA_OUTER.fits
49,859726_2022-05-12_11:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_113000_LBA_OUTER.fits
50,859726_2022-05-12_08:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_080000_LBA_OUTER.fits
51,859726_2022-05-12_09:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_093000_LBA_OUTER.fits
52,859726_2022-05-12_10:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_100000_LBA_OUTER.fits
53,859726_2022-05-12_13:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_133000_LBA_OUTER.fits
54,859726_2022-05-12_07:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_073000_LBA_OUTER.fits
55,859726_2022-05-12_12:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3043/859726/dynamic_spectra/LOFAR_20220512_120000_LBA_OUTER.fits
56,858918_2022-05-02_16:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_160000_LBA_OUTER_S0.fits
57,858918_2022-05-02_11:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_114500_LBA_OUTER_S0.fits
58,858918_2022-05-02_10:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_100000_LBA_OUTER_S0.fits
59,858918_2022-05-02_08:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_081500_LBA_OUTER_S0.fits
60,858918_2022-05-02_13:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_133000_LBA_OUTER_S0.fits
61,858918_2022-05-02_15:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_153000_LBA_OUTER_S0.fits
62,858918_2022-05-02_12:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_121500_LBA_OUTER_S0.fits
63,858918_2022-05-02_14:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_141500_LBA_OUTER_S0.fits
64,858918_2022-05-02_07:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_074500_LBA_OUTER_S0.fits
65,858918_2022-05-02_09:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_093000_LBA_OUTER_S0.fits
66,858918_2022-05-02_10:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_104500_LBA_OUTER_S0.fits
67,858918_2022-05-02_09:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_091500_LBA_OUTER_S0.fits
68,858918_2022-05-02_11:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_110000_LBA_OUTER_S0.fits
69,858918_2022-05-02_12:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_123000_LBA_OUTER_S0.fits
70,858918_2022-05-02_14:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_143000_LBA_OUTER_S0.fits
71,858918_2022-05-02_13:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_131500_LBA_OUTER_S0.fits
72,858918_2022-05-02_15:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_151500_LBA_OUTER_S0.fits
73,858918_2022-05-02_06:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_064500_LBA_OUTER_S0.fits
74,858918_2022-05-02_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_070000_LBA_OUTER_S0.fits
75,858918_2022-05-02_08:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_083000_LBA_OUTER_S0.fits
76,858918_2022-05-02_15:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_154500_LBA_OUTER_S0.fits
77,858918_2022-05-02_12:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_120000_LBA_OUTER_S0.fits
78,858918_2022-05-02_14:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_140000_LBA_OUTER_S0.fits
79,858918_2022-05-02_13:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_134500_LBA_OUTER_S0.fits
80,858918_2022-05-02_11:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_113000_LBA_OUTER_S0.fits
81,858918_2022-05-02_09:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_094500_LBA_OUTER_S0.fits
82,858918_2022-05-02_08:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_080000_LBA_OUTER_S0.fits
83,858918_2022-05-02_10:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_101500_LBA_OUTER_S0.fits
84,858918_2022-05-02_07:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_073000_LBA_OUTER_S0.fits
85,858918_2022-05-02_13:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_130000_LBA_OUTER_S0.fits
86,858918_2022-05-02_14:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_144500_LBA_OUTER_S0.fits
87,858918_2022-05-02_12:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_124500_LBA_OUTER_S0.fits
88,858918_2022-05-02_15:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_150000_LBA_OUTER_S0.fits
89,858918_2022-05-02_10:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_103000_LBA_OUTER_S0.fits
90,858918_2022-05-02_07:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_071500_LBA_OUTER_S0.fits
91,858918_2022-05-02_08:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_084500_LBA_OUTER_S0.fits
92,858918_2022-05-02_11:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_111500_LBA_OUTER_S0.fits
93,858918_2022-05-02_09:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_090000_LBA_OUTER_S0.fits
94,858918_2022-05-02_06:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3868/858918/dynamic_spectra/LOFAR_20220502_063000_LBA_OUTER_S0.fits
95,859140_2022-05-04_10:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_104500_LBA_OUTER_S0.fits
96,859140_2022-05-04_11:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_110000_LBA_OUTER_S0.fits
97,859140_2022-05-04_09:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_091500_LBA_OUTER_S0.fits
98,859140_2022-05-04_12:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_123000_LBA_OUTER_S0.fits
99,859140_2022-05-04_14:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_143000_LBA_OUTER_S0.fits
100,859140_2022-05-04_13:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_131500_LBA_OUTER_S0.fits
101,859140_2022-05-04_15:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_151500_LBA_OUTER_S0.fits
102,859140_2022-05-04_06:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_064500_LBA_OUTER_S0.fits
103,859140_2022-05-04_08:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_083000_LBA_OUTER_S0.fits
104,859140_2022-05-04_07:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_070000_LBA_OUTER_S0.fits
105,859140_2022-05-04_16:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_160000_LBA_OUTER_S0.fits
106,859140_2022-05-04_11:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_114500_LBA_OUTER_S0.fits
107,859140_2022-05-04_08:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_081500_LBA_OUTER_S0.fits
108,859140_2022-05-04_10:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_100000_LBA_OUTER_S0.fits
109,859140_2022-05-04_13:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_133000_LBA_OUTER_S0.fits
110,859140_2022-05-04_15:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_153000_LBA_OUTER_S0.fits
111,859140_2022-05-04_12:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_121500_LBA_OUTER_S0.fits
112,859140_2022-05-04_14:15:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_141500_LBA_OUTER_S0.fits
113,859140_2022-05-04_07:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_074500_LBA_OUTER_S0.fits
114,859140_2022-05-04_09:30:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_093000_LBA_OUTER_S0.fits
115,859140_2022-05-04_13:00:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_130000_LBA_OUTER_S0.fits
116,859140_2022-05-04_14:45:00.000000,https://spaceweather.astron.nl//SolarKSP/data/atdb_process/solar_bf_compressing/3958/859140/dynamic_spectra/LOFAR_20220504_144500_LBA_OUTER_S0.fits
